id,user_id,started_at,ended_at,duration_seconds
478,123456789012345678901234,2025-09-17 07:35:10.529359+00,2025-09-17 07:35:14.636638+00,4
479,123456789012345678901234,2025-09-17 14:43:44.071667+00,2025-09-17 15:16:57.378237+00,1993
480,123456789012345678901234,2025-09-17 14:43:59.61381+00,2025-09-17 14:44:20.409083+00,20
481,123456789012345678901234,2025-09-30 12:11:34.139831+00,2025-09-30 12:12:33.782117+00,59
482,123456789012345678901234,2025-10-08 19:26:31.293617+00,2025-10-08 19:26:43.173425+00,12
483,123456789012345678901234,2025-10-08 19:26:52.203713+00,2025-10-08 19:26:55.315715+00,3
484,123456789012345678901234,2025-10-19 16:22:39.315692+00,2025-10-19 16:23:32.630102+00,53
485,asssssssssssssssssssssss,2025-10-25 15:10:42.310125+00,2025-10-27 01:19:12.218179+00,122910
486,asssssssssssssssssssssss,2025-10-25 21:48:42.277605+00,2025-10-25 22:35:20.311915+00,2798
487,asssssssssssssssssssssss,2025-10-26 18:21:41.678888+00,2025-10-26 20:38:14.491008+00,8193
488,asssssssssssssssssssssss,2025-10-27 17:27:33.524918+00,2025-10-27 17:28:16.607306+00,44
489,111111111111111111111111,2025-10-27 21:01:16.376538+00,2025-10-27 21:01:26.07253+00,9
490,111111111111111111111111,2025-10-27 21:01:28.394149+00,2025-10-27 21:01:38.840621+00,10
491,asssssssssssssssssssssss,2025-10-28 22:41:49.990606+00,2025-10-29 00:53:50.547246+00,7921
492,xhbc-bzt6,2025-11-01 00:41:17.887832+00,2025-11-01 00:51:22.98812+00,605
493,xhbc-bzt6,2025-11-01 00:52:24.974299+00,2025-11-01 00:52:57.453768+00,34
494,xhbc-bzt6,2025-11-01 00:53:00.604594+00,2025-11-01 00:53:15.271216+00,14
495,xhbc-bzt6,2025-11-01 00:53:21.129417+00,2025-11-01 00:55:32.024249+00,131
496,xhbc-bzt6,2025-11-01 00:54:30.890663+00,2025-11-01 00:54:40.778947+00,9
497,xhbc-bzt6,2025-11-01 00:57:28.325176+00,2025-11-01 00:58:22.43883+00,54
498,xhbc-bzt6,2025-11-01 20:19:30.998649+00,2025-11-01 20:55:33.160244+00,2162
499,xhbc-sct3,2025-11-01 20:59:29.452544+00,2025-11-01 21:00:10.21643+00,40
500,xhbc-sct3,2025-11-01 21:00:10.431536+00,2025-11-01 21:00:32.975379+00,22
501,xhbc-sct3,2025-11-01 21:00:34.96879+00,2025-11-01 21:00:46.918824+00,12
502,xhbc-sct3,2025-11-01 21:24:20.912878+00,2025-11-01 21:25:03.54044+00,43
503,xhbc-sct3,2025-11-01 21:25:25.493187+00,2025-11-01 21:27:18.590398+00,113
504,xhbc-sct3,2025-11-01 21:27:21.760961+00,2025-11-01 21:27:26.653728+00,5
505,xhbc-sct3,2025-11-01 21:29:47.703826+00,2025-11-01 21:29:58.216704+00,10
506,xhbc-bzt6,2025-11-01 22:00:52.727961+00,2025-11-01 22:06:23.217266+00,330
507,xhbc-ist5,2025-11-02 00:18:18.039024+00,2025-11-02 00:18:47.58337+00,29
508,xhbc-ist5,2025-11-02 00:19:07.911993+00,2025-11-02 00:44:29.362347+00,1521
509,xhbc-ist5,2025-11-02 00:19:15.654624+00,2025-11-02 00:19:27.557323+00,12
510,xhbc-ist5,2025-11-02 00:19:31.756627+00,2025-11-02 00:19:35.564275+00,4
511,xhbc-ist5,2025-11-02 00:20:28.24253+00,2025-11-02 00:20:45.252558+00,17
512,xhbc-ist5,2025-11-02 00:27:44.726128+00,2025-11-02 00:27:59.941558+00,15
513,xhbc-sct3,2025-11-02 13:47:52.137695+00,,
514,xhbc-ist5,2025-11-02 14:04:19.162268+00,2025-11-02 14:04:38.593976+00,19
515,xhbc-ist5,2025-11-02 14:04:55.29984+00,2025-11-02 14:05:06.967022+00,11
516,xhbc-ist5,2025-11-02 14:52:30.935338+00,2025-11-02 14:52:49.267891+00,18
517,xhbc-bzt6,2025-11-02 23:17:05.158149+00,2025-11-02 23:30:48.399056+00,825
518,xhbc-g6b4,2025-11-03 02:39:02.046683+00,2025-11-03 02:40:00.212791+00,58
519,xhbc-g6b4,2025-11-03 02:40:19.535435+00,2025-11-03 02:40:33.735405+00,14
520,xhbc-g6b4,2025-11-03 02:41:10.07365+00,2025-11-03 03:35:45.210755+00,3275
521,xhbc-sct3,2025-11-03 02:58:04.618305+00,2025-11-03 02:58:45.780426+00,41
522,xhbc-sct3,2025-11-03 02:59:15.035006+00,2025-11-03 03:06:28.666587+00,433
523,xhbc-ist5,2025-11-03 03:28:35.813302+00,2025-11-03 03:28:50.053849+00,14
524,xhbc-bzt6,2025-11-03 03:32:51.571619+00,2025-11-03 03:34:56.736897+00,125
525,xhbc-ist5,2025-11-03 12:52:00.145943+00,2025-11-03 12:52:17.600894+00,17
526,xhbc-jdcx,2025-11-03 14:09:14.651648+00,2025-11-03 14:10:47.200848+00,92
527,xhbc-jdcx,2025-11-03 14:10:49.933109+00,2025-11-03 14:10:53.584144+00,3
528,xhbc-jdcx,2025-11-03 14:10:54.599188+00,2025-11-03 14:10:56.091418+00,1
529,xhbc-jdcx,2025-11-03 14:11:06.423057+00,2025-11-03 14:12:35.603058+00,89
530,xhbc-jdcx,2025-11-03 14:11:25.626998+00,2025-11-03 14:12:15.064589+00,49
531,xhbc-jdcx,2025-11-03 14:12:42.100228+00,,
532,xhbc-jdcx,2025-11-03 18:16:20.831619+00,2025-11-03 18:16:41.579455+00,21
533,xhbc-jdcx,2025-11-03 18:16:41.918242+00,2025-11-03 18:17:12.924929+00,31
534,xhbc-bzt6,2025-11-03 18:49:23.496705+00,2025-11-03 19:15:28.376393+00,1564
535,xhbc-xzpn,2025-11-03 21:05:35.837769+00,2025-11-03 21:07:38.903389+00,123
536,xhbc-xzpn,2025-11-03 21:06:49.28025+00,2025-11-03 21:07:37.797105+00,48
537,xhbc-xzpn,2025-11-03 21:06:48.966+00,2025-11-03 21:07:01.328596+00,12
538,xhbc-xzpn,2025-11-03 21:07:23.13939+00,2025-11-03 21:07:36.090258+00,13
539,xhbc-xzpn,2025-11-03 21:09:55.781342+00,2025-11-03 21:12:18.037491+00,144
540,xhbc-xzpn,2025-11-03 21:13:18.040866+00,2025-11-03 21:14:30.194002+00,72
541,xhbc-bzt6,2025-11-03 21:26:09.80558+00,2025-11-03 21:59:56.410599+00,2026
542,xhbc-g6b4,2025-11-04 06:22:31.270206+00,2025-11-04 06:22:36.171004+00,7
543,xhbc-bzt6,2025-11-04 14:18:15.002326+00,2025-11-04 14:21:13.781961+00,178
544,xhbc-ist5,2025-11-04 17:08:06.225359+00,2025-11-04 17:36:12.800463+00,1686
545,xhbc-i9fc,2025-11-04 21:30:48.712533+00,2025-11-04 21:32:12.700022+00,84
546,xhbc-i9fc,2025-11-04 21:32:12.964428+00,2025-11-04 21:36:46.835711+00,274
547,Xhbc-i9fc,2025-11-04 21:38:43.424656+00,2025-11-04 21:54:56.871093+00,973
548,Xhbc-i9fc,2025-11-04 21:55:01.590783+00,2025-11-04 21:55:08.993098+00,7
549,xhbc-xzpn,2025-11-04 23:05:06.020619+00,2025-11-04 23:05:37.871039+00,32
550,xhbc-xzpn,2025-11-04 23:16:57.176316+00,2025-11-04 23:21:11.155927+00,254
551,xhbc-jdcx,2025-11-04 23:55:06.419881+00,2025-11-04 23:56:16.52498+00,70
552,xhbc-jdcx,2025-11-04 23:56:38.329593+00,2025-11-04 23:57:04.423853+00,26
553,xhbc-jdcx,2025-11-04 23:57:59.548896+00,2025-11-04 23:58:01.951667+00,2
554,xhbc-jdcx,2025-11-04 23:58:07.242702+00,2025-11-04 23:58:32.754597+00,25
555,xhbc-jdcx,2025-11-05 00:01:42.984124+00,,
556,xhbc-bzt6,2025-11-05 01:26:03.700472+00,2025-11-05 01:26:23.862939+00,20
557,xhbc-bzt6,2025-11-05 05:28:09.527442+00,2025-11-05 05:30:48.813668+00,159
558,xhbc-ist5,2025-11-05 13:08:12.265798+00,2025-11-05 13:08:24.712225+00,12
559,xhbc-bzt6,2025-11-05 13:56:27.443394+00,2025-11-05 14:06:53.877994+00,626
560,xhbc-bzt6,2025-11-05 15:07:59.24555+00,2025-11-05 15:08:51.346333+00,52
561,xhbc-ist5,2025-11-05 15:12:41.504203+00,2025-11-05 15:12:44.391031+00,3
562,xhbc-bzt6,2025-11-05 15:50:28.478678+00,2025-11-05 15:53:32.550231+00,184
563,xhbc-xzpn,2025-11-05 16:39:58.26093+00,2025-11-05 16:47:15.58878+00,437
564,xhbc-bzt6,2025-11-05 16:44:07.431751+00,2025-11-05 16:44:26.136315+00,18
565,xhbc-xzpn,2025-11-05 17:17:00.818886+00,2025-11-05 17:17:23.806678+00,23
566,Xhbc-i9fc,2025-11-05 17:20:44.602543+00,2025-11-05 17:31:46.334512+00,661
567,xhbc-i9fc,2025-11-05 17:23:59.251941+00,2025-11-05 17:24:06.94885+00,7
568,xhbc-sct3,2025-11-05 17:38:03.214188+00,2025-11-05 17:38:14.703437+00,11
569,xhbc-ist5,2025-11-05 17:50:08.098832+00,2025-11-05 17:50:12.474567+00,4
570,xhbc-g6b4,2025-11-05 19:19:06.816899+00,2025-11-05 19:19:21.692198+00,14
571,xhbc-g6b4,2025-11-05 19:19:23.601657+00,2025-11-05 19:19:35.453525+00,11
572,xhbc-g6b4,2025-11-05 19:19:37.611962+00,2025-11-05 19:19:39.33312+00,1
573,xhbc-xzpn,2025-11-05 22:06:06.876563+00,2025-11-05 22:06:35.833246+00,29
574,xhbc-xzpn,2025-11-06 00:07:11.95708+00,2025-11-06 00:07:29.218968+00,17
575,xhbc-xzpn,2025-11-06 00:07:32.120215+00,2025-11-06 00:07:34.73044+00,2
576,xhbc-xzpn,2025-11-06 01:24:16.103194+00,2025-11-06 01:24:41.629362+00,25
577,xhbc-i9fc,2025-11-06 02:39:00.706521+00,2025-11-06 02:39:02.089445+00,4
578,xhbc-jdcx,2025-11-06 03:57:50.609313+00,2025-11-06 03:58:14.415519+00,23
579,xhbc-jdcx,2025-11-06 03:58:16.246215+00,2025-11-06 03:59:19.657503+00,63
580,xhbc-bzt6,2025-11-06 04:03:22.760428+00,2025-11-06 04:11:39.617059+00,496
581,xhbc-xzpn,2025-11-06 12:36:10.660592+00,2025-11-06 12:37:16.96014+00,66
582,xhbc-ist5,2025-11-06 13:16:44.681344+00,2025-11-06 13:17:04.533734+00,20
583,xhbc-i9fc,2025-11-06 16:08:58.601253+00,2025-11-06 16:09:36.290643+00,37
584,xhbc-g6b4,2025-11-06 17:05:02.946305+00,2025-11-06 17:05:19.768984+00,18
585,xhbc-g6b4,2025-11-06 23:52:36.938628+00,2025-11-06 23:53:42.426712+00,65
586,xhoc-jdex,2025-11-07 02:01:28.363064+00,2025-11-07 02:02:05.746415+00,37
587,xhoc-jdex,2025-11-07 02:19:36.279997+00,,
588,xhbc-bzt6,2025-11-07 15:02:48.021078+00,2025-11-07 15:04:33.218905+00,105
589,xhbc-ist5,2025-11-07 16:11:49.773443+00,2025-11-07 16:11:58.566175+00,8
590,xhbc-xzpn,2025-11-07 16:39:25.377491+00,2025-11-07 16:40:26.129386+00,61
591,xhbc-sct3,2025-11-08 04:19:34.602385+00,2025-11-08 04:19:48.503659+00,14
592,xhbc-ist5,2025-11-08 04:20:09.928428+00,2025-11-08 04:20:12.632582+00,2
593,xhbc-ist5,2025-11-08 13:41:24.533006+00,2025-11-08 13:41:30.522055+00,6
594,xhbc-xzpn,2025-11-08 14:48:23.229658+00,2025-11-08 14:48:35.706141+00,12
595,xhbc-xzpn,2025-11-08 16:30:20.581956+00,2025-11-08 16:30:26.774791+00,6
596,xhbc-xzpn,2025-11-08 23:50:11.221303+00,2025-11-08 23:52:11.532961+00,120
597,xhoc-jdex,2025-11-09 04:35:15.636181+00,2025-11-09 05:40:40.268971+00,3924
598,xhoc-jdex,2025-11-09 05:51:39.811997+00,,
599,xhbc-xzpn,2025-11-09 13:51:00.676199+00,2025-11-09 13:51:28.797298+00,28
600,xhbc-ist5,2025-11-09 21:27:28.858736+00,2025-11-09 21:27:42.608187+00,13
601,xhoc-jdex,2025-11-09 21:51:05.383292+00,2025-11-09 21:51:20.414524+00,15
602,xhoc-jdex,2025-11-10 00:30:43.803818+00,,
603,xhbc-bzt6,2025-11-10 14:53:25.129685+00,2025-11-10 15:17:01.265235+00,1416
604,xhbc-ist5,2025-11-10 21:58:55.054592+00,2025-11-10 21:59:00.108922+00,5
605,xhbc-g6b4,2025-11-10 22:56:45.804578+00,2025-11-10 23:00:48.681189+00,243
606,xhbc-xzpn,2025-11-10 23:51:20.372195+00,2025-11-10 23:51:29.272395+00,9
607,xhoc-jdex,2025-11-11 02:17:54.669468+00,2025-11-11 02:20:18.889165+00,144
608,xhoc-jdex,2025-11-11 02:53:42.16+00,2025-11-11 02:53:44.56629+00,2
609,xhoc-jdex,2025-11-11 02:53:45.130609+00,,
610,xhoc-jdex,2025-11-11 03:31:40.880987+00,,
611,xhbc-i9fc,2025-11-11 04:39:43.666217+00,2025-11-11 04:40:04.630736+00,21
612,xhbc-ist5,2025-11-11 19:39:37.787993+00,2025-11-11 19:39:43.151077+00,5
613,xhbc-sct3,2025-11-11 21:02:25.507183+00,2025-11-11 21:02:31.673082+00,6
614,xhbc-bzt6,2025-11-12 00:49:59.367199+00,2025-11-12 00:59:31.128705+00,571
615,xhoc-jdex,2025-11-12 07:48:22.057337+00,2025-11-12 08:15:13.403844+00,1611
616,xhbc-ist5,2025-11-12 14:34:13.716812+00,2025-11-12 14:34:18.416828+00,4
617,xhbc-bzt6,2025-11-13 02:11:52.387235+00,2025-11-13 02:21:05.386533+00,553
618,xhbc-xzpn,2025-11-13 13:02:23.062495+00,2025-11-13 13:02:32.422168+00,12
619,xhbc-g6b4,2025-11-13 13:50:14.504135+00,2025-11-13 13:50:20.941815+00,6
620,xhbc-9fzd,2025-11-13 17:45:18.76034+00,2025-11-13 17:45:41.230941+00,22
621,xhoc-jdex,2025-11-14 01:51:29.348789+00,2025-11-14 01:51:40.490224+00,11
622,xhoc-jdex,2025-11-14 02:06:07.79472+00,,
623,xhbc-xzpn,2025-11-14 02:30:51.537624+00,2025-11-14 02:31:10.164067+00,19
624,xhoc-jdex,2025-11-15 04:44:46.385649+00,2025-11-15 04:44:55.311011+00,9
625,xhbc-w5gt,2025-11-15 17:01:36.802375+00,2025-11-15 17:02:03.047552+00,26
626,xhbc-u5hh,2025-11-15 17:03:32.058343+00,2025-11-15 17:05:52.841801+00,141
627,xhbc-7nm5,2025-11-15 17:41:49.10928+00,2025-11-15 19:20:47.041157+00,5938
628,xhbc-8cra,2025-11-15 18:01:23.991887+00,2025-11-15 18:01:34.468157+00,10
